Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-6 9:24,SG 553 | 军队之辉 (久经沙场),消费级,普通,步枪,久经沙场,0.17,当前在售(791)
2023-6-6 9:24,UMP-45 | 枯焦之色 (略有磨损) ,消费级,普通,微型冲锋枪,略有磨损,2.49,当前在售(47)
2023-6-6 9:24,UMP-45 | 枯焦之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,25.23,当前在售(47)
2023-6-6 9:24,UMP-45 | 枯焦之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,1.11,当前在售(47)
2023-6-6 9:24,UMP-45 | 枯焦之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,1.25,当前在售(47)
2023-6-6 9:24,UMP-45 | 枯焦之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,1.79,当前在售(47)
2023-6-6 9:24,P2000 | 工业牧草 (略有磨损) ,工业级,普通,手枪,略有磨损,12.4,当前在售(16)
2023-6-6 9:24,P2000 | 工业牧草 (崭新出厂),工业级,普通,手枪,崭新出厂,79.99,当前在售(16)
2023-6-6 9:24,P2000 | 工业牧草 (久经沙场),工业级,普通,手枪,久经沙场,9.4,当前在售(16)
2023-6-6 9:24,P2000 | 工业牧草 (破损不堪),工业级,普通,手枪,破损不堪,7.4,当前在售(16)
2023-6-6 9:24,P2000 | 工业牧草 (战痕累累),工业级,普通,手枪,战痕累累,5.97,当前在售(16)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 人工染色 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,948.5,当前在售(6)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 人工染色 (崭新出厂),隐秘,★,匕首,崭新出厂,2358.82,当前在售(6)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 人工染色 (久经沙场),隐秘,★,匕首,久经沙场,740,当前在售(6)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 人工染色 (破损不堪),隐秘,★,匕首,破损不堪,1240,当前在售(6)
